id,username,email,password,phone,orgId,status,role,warningCount,buyerPreferredCategories,buyerMaxBudget,buyerLocation,buyerPayMethod,profileFullName,profileEmail,profilePhone
HC-ADMIN-001,h,null,1234,null,null,ACTIVE,HelpCenterAdmin,0,,,,,,,
HC-MSG-001,msg1,null,1234,null,null,ACTIVE,MessageHandlerRole,0,,,,,,,
HC-CMP-001,ch1,null,1234,null,null,ACTIVE,ComplaintHandlerRole,0,,,,,,,
SELLER-001,seller1,seller1@test.com,123,1111111111,SELLER_ORG,ACTIVE,SellerRole,0,,,,,,,
LM-001,listingmanager1,lm1@test.com,1234,2222222222,SELLER_ORG,ACTIVE,ListingManagerRole,0,,,,,,,
OP-001,order1,order1@test.com,12345,3333333333,ORDER_ORG,ACTIVE,OrderProcessorRole,0,,,,,,,
ADMIN_001,platformadmin,admin@test.com,123,9999999999,USER_ORG,ACTIVE,PlatformAdminRole,0,,,,,,,
SYS_001,s,sys@test.com,123,8888888888,SYSTEM,ACTIVE,SystemAdminRole,0,,,,,,,
ADMIN_002,a,a@test.com,1234,7777777777,USER_ORG,ACTIVE,AccountAdminRole,0,,,,,,,
ADMIN_003,c,c@test.com,1234,6666666666,CONTENT_ORG,ACTIVE,ContentModeratorRole,0,,,,,,,
BUYER-001,buyer1,example@email.com,password123,5204499229,SHOPPING_ORG,ACTIVE,BuyerRole,0,Electronics|Books,900,Campus,CreditCard,Buyer One,example@email.com,5204499229
BUYER-002,searcher1,searcher1@university.edu,password123,123-456-7891,SHOPPING_ORG,ACTIVE,BuyerRole,0,Food|Clothing,400,Campus,DebitCard,Searcher One,,
BUYER-003,tracker1,tracker1@university.edu,password123,123-456-7892,ORDER_ORG,ACTIVE,BuyerRole,0,Books|Stationery,300,Dormitory,MobilePay,Tracker One,,
